PK_Station	name_stat	location	region	x	y	PK_Sensor	descra	date	rain_24
335800	Valverde	Valverde	LOMBARDIA	518783	4968659	4012	4968658.903	20.06.2010	22.0
204500	Bovegno	Bovegno	LOMBARDIA	598800	5071257	7762	5071256.64	20.06.2010	24.0
61400	Pavia	Pavia	LOMBARDIA	511893	5003580	5537	5003579.691	20.06.2010	12.0
206200	Vigevano	Abbiategrasso	LOMBARDIA	490641	5020606	4787	5020605.955	20.06.2010	9.0
340900	Lambrugo_Pluvio	Lambrugo	LOMBARDIA	519009	5067623	4789	5067622.553	20.06.2010	14.1
203000	Como_Villa_Geno	Como	LOMBARDIA	506301	5074141	3383	5074140.655	20.06.2010	10.1
293800	Salsominore	NA	NA	532387	4942419	3472	4942419.262	20.06.2010	20.0
212100	Milano	Milano	LOMBARDIA	519538	5036583	1458	5036582.701	20.06.2010	10.1
211900	Edolo	Edolo	LOMBARDIA	603549	5113810	5256	5113810.45	20.06.2010	13.0
202700	Caslino_d'Erba	Caslino_d'Erba	LOMBARDIA	518013	5075619	2546	5075619.066	20.06.2010	12.0
180500	Fortunago	Fortunago	LOMBARDIA	515392	4973249	4553	4973248.827	20.06.2010	17.1
326600	Bobbiano	Travo	EMILIA-ROMAGNA	538855	4969460	3741	4969460.047	20.06.2010	26.0
333500	Romagnese	Romagnese	LOMBARDIA	526367	4965197	3738	4965197.48	20.06.2010	24.1
180400	Varzi	Varzi	LOMBARDIA	515658	4963185	4545	4963185.135	20.06.2010	21.0
98000	Aprica	Aprica	LOMBARDIA	588708	5109044	1878	5109043.535	20.06.2010	20.0
62700	Laveno_di_Lozio	Lozio	LOMBARDIA	597684	5092665	5465	5092665.141	20.06.2010	21.0
62800	Fraine	Fraine	LOMBARDIA	589586	5074017	7173	5074017.317	20.06.2010	19.0
202600	Palazzolo	Paderno_Dugnano	LOMBARDIA	512742	5047520	9182	5047519.515	20.06.2010	10.1
97700	Gerola-Pescegallo	Morbegno	LOMBARDIA	544805	5096988	1853	5096988.058	20.06.2010	8.1
234100	Bagnoli_di_Sopra	Bagnoli_di_Sopra	VENETO	726361	5007018	4296	5007018.431	20.06.2010	20.1
212000	Bergamo_(Torre_Boldone)	Torre_Boldone	LOMBARDIA	555125	5063060	5879	5063060.079	20.06.2010	26.0
109400	Bobbio	Bobbio	EMILIA-ROMAGNA	531170	4957076	7768	4957076.387	20.06.2010	21.0
335600	Perino	Coli	EMILIA-ROMAGNA	539421	4963043	4006	4963042.582	20.06.2010	23.1
204600	Darfo	NA	NA	589885	5080189	4771	5080189.16	20.06.2010	14.0
203200	Ponte_Briolo	Valbrembo	LOMBARDIA	546120	5061720	2556	5061720.263	20.06.2010	25.1
181500	Boretto	Boretto	EMILIA-ROMAGNA	623130	4973669	5497	4973669.306	20.06.2010	26.0
410900	Lavagnina_lago	Casaleggio_Boiro	PIEMONTE	480601	4938979	9815	4938979.302	20.06.2010	12.0
145100	Canezza	NA	NA	676543	5105537	934	5105537.293	20.06.2010	24.0
132700	Vercelli	Vercelli	PIEMONTE	452803	5019020	7498	5019020.111	20.06.2010	11.0
243400	Cicogna	Cossogno	PIEMONTE	460535	5094796	8436	5094795.981	20.06.2010	0.8
61300	Ferriere_Pluvio	Ferriere	EMILIA-ROMAGNA	539652	4943426	7765	4943426.154	20.06.2010	24.0
209000	Pianello_Val_Tidone	Pianello_Val_Tidone	EMILIA-ROMAGNA	534846	4976591	5803	4976591.132	20.06.2010	18.1
335900	Casalporino	Bedonia	EMILIA-ROMAGNA	543570	4930677	4015	4930676.672	20.06.2010	25.0
2419	Loco_Carchelli_C_le	Rovegno	LIGURIA	522636	4933525	-360	4933524.649	20.06.2010	12.1
202500	Cantu'_Asnago	NA	NA	508281	5061766	4793	5061766.167	20.06.2010	9.0
338700	Frassineto	Bardi	EMILIA-ROMAGNA	546419	4936651	3959	4936650.542	20.06.2010	25.0
245000	Brossasco	Brossasco	PIEMONTE	370066	4936487	8440	4936486.976	20.06.2010	23.0
261100	Courmayeur_Pre'de_Bard	Courmayeur	VALLE_D'AOSTA	349856	5082969	6970	5082968.656	20.06.2010	11.0
292500	Ca'_de_Caroli	Scandiano	EMILIA-ROMAGNA	633144	4939208	3987	4939208.052	20.06.2010	24.0
146200	Sarche	Calavino	TRENTINO-ALTO_ADIGE	650570	5099221	954	5099220.949	20.06.2010	13.0
164800	S_Damiano	NA	NA	427000	4965347	7550	4965347.179	20.06.2010	5.0
87400	Somano-Albere	Somano	PIEMONTE	421746	4932113	8092	4932113.061	20.06.2010	11.1
335700	Rovegno	Rovegno	LIGURIA	522009	4935988	4009	4935988.473	20.06.2010	15.1
256400	Tricerro	Tricerro	PIEMONTE	447408	5009086	8577	5009085.925	20.06.2010	12.0
133500	Villanova_Solaro	Villanova_Solaro	PIEMONTE	387008	4953981	5749	4953981.19	20.06.2010	15.0
173500	Cavacca	Treviso_Bresciano	LOMBARDIA	616662	5064498	7191	5064497.887	20.06.2010	23.0
89300	Lanzo_Fua	Lanzo_Torinese	PIEMONTE	381806	5016116	5804	5016115.937	20.06.2010	11.0
256600	Biella	Biella	PIEMONTE	426512	5045871	8575	5045871.322	20.06.2010	4.0
297500	Cevo	Cevo	LOMBARDIA	606531	5103925	2611	5103925.496	20.06.2010	13.0
61200	S_Stefano_d'Aveto	NA	NA	535523	4932905	7874	4932904.83	20.06.2010	23.0
135400	Langhirano	Langhirano	EMILIA-ROMAGNA	599934	4939199	4399	4939199.278	20.06.2010	23.0
146300	Cimego	Cimego	TRENTINO-ALTO_ADIGE	625493	5085443	958	5085443.123	20.06.2010	23.1
190600	Isola_S_Antonio	NA	NA	488138	4985428	5984	4985427.568	20.06.2010	9.0
64300	S_Martino-Pinerolo	Pinerolo	PIEMONTE	364538	4971518	7350	4971517.726	20.06.2010	11.1
32700	Mezzolombardo	Mezzolombardo	TRENTINO-ALTO_ADIGE	662449	5117657	132	5117656.943	20.06.2010	23.0
334800	Bienno	Bienno	LOMBARDIA	599745	5088808	2613	5088808.417	20.06.2010	13.1
2462	Isoverde	NA	NA	488743	4930629	-267	4930629.089	20.06.2010	6.0
410300	Cabella_Ligure	Cabella_Ligure	PIEMONTE	507266	4946697	9822	4946696.625	20.06.2010	10.1
88700	Cumiana-Pieve	Cumiana	PIEMONTE	373025	4980045	5401	4980045.453	20.06.2010	8.0
132600	Carmagnola	Carmagnola	PIEMONTE	396462	4971256	7372	4971255.965	20.06.2010	9.0
132400	Pontechianale	Pontechianale	PIEMONTE	345502	4941905	7446	4941905.247	20.06.2010	20.0
386700	Valbondione	Valbondione	LOMBARDIA	580391	5101606	8811	5101605.716	20.06.2010	13.0
146100	Preore	Preore	TRENTINO-ALTO_ADIGE	635517	5099950	950	5099949.59	20.06.2010	20.0
237900	Rifugio_Crucolo	Scurelle	TRENTINO-ALTO_ADIGE	693134	5110507	4508	5110507.046	20.06.2010	22.0
164900	Front-Ponte_Malone	Front	PIEMONTE	395542	5015352	5834	5015351.745	20.06.2010	8.0
85600	Alessandria-Lobbi	Alessandria	PIEMONTE	477421	4974848	7606	4974847.563	20.06.2010	17.1
85900	Pino_Torinese	Pino_Torinese	PIEMONTE	402908	4988289	7637	4988288.609	20.06.2010	3.0
215100	Basaluzzo_Meteo	Basaluzzo	PIEMONTE	474062	4957242	6146	4957242.025	20.06.2010	13.0
194300	Masio	Masio	PIEMONTE	453768	4968831	6133	4968831.33	20.06.2010	24.1
133900	Bra-Museo_Craveri	NA	NA	408955	4950178	7434	4950178.475	20.06.2010	15.0
145500	Rovereto	Rovereto	TRENTINO-ALTO_ADIGE	657839	5085662	1145	5085661.538	20.06.2010	11.0
414800	Marene	Marene	PIEMONTE	398550	4946412	9060	4946411.527	20.06.2010	14.0
214900	Santena-Banna	NA	NA	403270	4977505	6142	4977505.17	20.06.2010	3.1
190500	Tortona_Meteo	NA	NA	487857	4964111	6091	4964110.638	20.06.2010	16.0
165500	Corio	Corio	PIEMONTE	386129	5019004	5825	5019003.732	20.06.2010	13.1
244100	Colleretto_Cast_-S_Elisabetta	Colleretto_Castelnuovo	PIEMONTE	394988	5033108	6185	5033107.561	20.06.2010	11.1
86000	Casale_Monferrato-Meteo	Casale_Monferrato	PIEMONTE	460288	4997427	7631	4997427.077	20.06.2010	13.1
174300	Crissolo	Crissolo	PIEMONTE	353568	4951409	7368	4951408.953	20.06.2010	24.0
88600	Costigliole_Saluzzo	Costigliole_Saluzzo	PIEMONTE	380429	4934899	8102	4934898.542	20.06.2010	13.0
165400	Farigliano	Farigliano	PIEMONTE	412772	4929572	7347	4929572.222	20.06.2010	14.0
208600	Gavi_Centrale	Gavi	PIEMONTE	481601	4949063	6210	4949062.575	20.06.2010	22.0
145400	S_Anna	Vallarsa	TRENTINO-ALTO_ADIGE	663232	5072427	1141	5072426.711	20.06.2010	25.0
412100	Sezzadio	Sezzadio	PIEMONTE	465828	4959069	9184	4959068.95	20.06.2010	19.1
172600	Piano_Audi	Corio	PIEMONTE	384005	5021976	7584	5021976.235	20.06.2010	25.1
297900	Alpe_Gorreto	Gorreto	LIGURIA	518759	4939066	3988	4939066.281	20.06.2010	13.0
334300	Noveglia	Bardi	EMILIA-ROMAGNA	560917	4938093	3812	4938092.581	20.06.2010	26.0
195200	Nociveglia	Bedonia	EMILIA-ROMAGNA	548567	4932501	8059	4932500.596	20.06.2010	17.1
146000	Spiazzo	Spiazzo	TRENTINO-ALTO_ADIGE	634338	5106816	946	5106815.622	20.06.2010	14.0
337900	Farfanaro	Compiano	EMILIA-ROMAGNA	553954	4934887	4042	4934887.074	20.06.2010	24.0
2464	Valleregia	Ceranesi	LIGURIA	495740	4929821	-271	4929820.965	20.06.2010	15.1
338100	Varsi	Varsi	EMILIA-ROMAGNA	565088	4944310	4046	4944309.828	20.06.2010	29.1
61100	Bardi	Bardi	EMILIA-ROMAGNA	558015	4942110	5341	4942109.567	20.06.2010	27.1
175000	Casalecchio_Canonica	Casalecchio_di_Reno	EMILIA-ROMAGNA	681702	4928216	4371	4928215.888	20.06.2010	32.0
257000	San_Damiano_Macra	San_Damiano_Macra	PIEMONTE	361210	4929914	8607	4929913.883	20.06.2010	31.0
296500	Busto_Arsizio	Busto_Arsizio	LOMBARDIA	486272	5052554	4954	5052554.414	20.06.2010	2.0
291100	S_Valentino	Castellarano	EMILIA-ROMAGNA	634925	4931066	3040	4931065.93	20.06.2010	30.2
111800	Carisole	Foppolo	LOMBARDIA	561684	5098956	702	5098956.257	20.06.2010	29.0
207400	Neviano_Arduini	NA	NA	605523	4937221	4304	4937221.318	20.06.2010	30.1
63400	Piazza_Brembana	Piazza_Brembana	LOMBARDIA	552145	5088279	5247	5088278.893	20.06.2010	30.0
111700	Pantano_d'Avio	NA	NA	613527	5114543	2291	5114542.871	20.06.2010	27.0
292300	Cassimoreno	Ferriere	EMILIA-ROMAGNA	545957	4942690	3024	4942690.292	20.06.2010	31.6
204200	Sarnico	Sarnico	LOMBARDIA	574722	5056931	1440	5056930.737	20.06.2010	26.1
296900	Crema	Crema	LOMBARDIA	552586	5022796	4775	5022795.711	20.06.2010	30.0
335400	Gropparello	Gropparello	EMILIA-ROMAGNA	557446	4963856	3997	4963856.097	20.06.2010	32.4
334500	Pessola	Varsi	EMILIA-ROMAGNA	568854	4942249	3831	4942249.192	20.06.2010	29.2
294600	Bazzano	Bazzano	EMILIA-ROMAGNA	665933	4930273	3202	4930272.825	20.06.2010	32.0
320300	Opera_Po-Palantone	Bondeno	EMILIA-ROMAGNA	691537	4977118	9940	4977117.651	20.06.2010	27.0
190400	Arquata_Scrivia_Meteo	Arquata_Scrivia	PIEMONTE	490820	4947621	6078	4947621.035	20.06.2010	27.1
186000	Crea	Serralunga_di_Crea	PIEMONTE	443040	4993670	7395	4993669.772	20.06.2010	13.0
144500	Levico	Levico_Terme	TRENTINO-ALTO_ADIGE	679586	5096974	134	5096974.164	20.06.2010	31.6
181600	Casanova	NA	NA	519212	4957274	4795	4957273.981	20.06.2010	25.1
330300	S_Ruffillo	Bologna	EMILIA-ROMAGNA	688185	4925010	3890	4925009.662	20.06.2010	29.0
297800	Voghera	Voghera	LOMBARDIA	501380	4981873	4780	4981873.003	20.06.2010	26.0
336100	Mormorola	Valmozzola	EMILIA-ROMAGNA	570406	4935411	4019	4935411.464	20.06.2010	31.4
254100	Caldirola	Fabbrica_Curone	PIEMONTE	511856	4952535	6213	4952535.216	20.06.2010	22.0
147600	Lugo_di_Vicenza	Vicenza	VENETO	696382	5068260	7743	5068259.709	20.06.2010	29.1
292100	Selva_Ferriere	Ferriere	EMILIA-ROMAGNA	538301	4937175	87	4937175.104	20.06.2010	33.8
135500	Calestano	Calestano	EMILIA-ROMAGNA	588450	4938443	5829	4938443.396	20.06.2010	33.6
144600	Borgo_Valsugana	Borgo_Valsugana	TRENTINO-ALTO_ADIGE	690323	5102857	961	5102856.889	20.06.2010	33.0
320700	Lavino_di_Sopra	Zola_Predosa	EMILIA-ROMAGNA	676505	4928206	5032	4928206.073	20.06.2010	30.2
238800	Trento	Trento	TRENTINO-ALTO_ADIGE	663648	5103935	861	5103935.231	20.06.2010	27.1
115000	Casalecchio_Canale	Casalecchio_di_Reno	EMILIA-ROMAGNA	681111	4927154	7841	4927154.434	20.06.2010	30.1
236300	Longana	Pieve_Tesino	TRENTINO-ALTO_ADIGE	702632	5106031	4510	5106030.602	20.06.2010	33.2
105200	Vetriolo	Levico_Terme	TRENTINO-ALTO_ADIGE	678794	5101299	52	5101298.972	20.06.2010	33.0
291700	Casaselvatica	Berceto	EMILIA-ROMAGNA	581973	4932770	2999	4932769.996	20.06.2010	28.0
90200	Montechiaro_d'Asti	Montechiaro_d'Asti	PIEMONTE	429208	4984265	8098	4984264.92	20.06.2010	7.1
150100	Canal_S_Bovo	Canal_San_Bovo	TRENTINO-ALTO_ADIGE	712540	5115442	4515	5115442.211	20.06.2010	30.0
212200	Asti-S_Martino	Asti	PIEMONTE	438334	4970261	6129	4970260.952	20.06.2010	28.0
296800	Chiari	Chiari	LOMBARDIA	573237	5041391	5115	5041390.531	20.06.2010	33.6
145300	Stedileri	Terragnolo	TRENTINO-ALTO_ADIGE	668383	5081526	1137	5081525.591	20.06.2010	34.4
130900	Telve_di_Sopra	Telve	TRENTINO-ALTO_ADIGE	689859	5104600	4506	5104599.668	20.06.2010	34.4
235000	Cismon_del_Grappa	Cismon_del_Grappa	VENETO	711490	5089021	5767	5089021.1	20.06.2010	38.6
237200	Ponte_Brogliano	Brogliano	VENETO	684801	5050458	7967	5050458.234	20.06.2010	39.1
237300	Ponte_Gua'	Montecchio_Maggiore	VENETO	686854	5040512	4405	5040511.693	20.06.2010	34.0
237800	Recoaro_Terme	Recoaro_Terme	VENETO	672192	5062629	7097	5062628.663	20.06.2010	37.3
147300	S_Agostino	Vicenza	VENETO	697153	5044530	6011	5044530.035	20.06.2010	37.6
293500	Varano_Marchesi	Medesano	EMILIA-ROMAGNA	581025	4953811	3110	4953811.157	20.06.2010	40.8
209400	Salsomaggiore	Parma	EMILIA-ROMAGNA	577796	4962748	5899	4962748.195	20.06.2010	45.6
84800	Luserna_S_Giov_-Pra_	Luserna_San_Giovanni	PIEMONTE	360985	4963559	7532	4963558.589	20.06.2010	45.6
325700	Canossa	Canossa	EMILIA-ROMAGNA	616482	4935887	70	4935886.795	20.06.2010	47.8
236900	Monteforte_P_	Monteforte_d'Alpone	VENETO	678814	5031472	5666	5031471.552	20.06.2010	36.0
240200	Gallio	Gallio	VENETO	698951	5082588	5814	5082587.909	20.06.2010	35.4
202200	Lodi	Lodi	LOMBARDIA	540127	5018105	4785	5018104.663	20.06.2010	28.1
63500	Clusone	Clusone	LOMBARDIA	573453	5081862	7822	5081861.565	20.06.2010	28.0
63200	Foppolo	Foppolo	LOMBARDIA	558502	5099047	4290	5099047.435	20.06.2010	40.8
59400	Sermide	Sermide	LOMBARDIA	680488	4986302	5006	4986302.016	20.06.2010	35.4
296400	S_Colombano	Collio	LOMBARDIA	606854	5073979	4949	5073979.409	20.06.2010	36.6
173800	Ponte_S_Marco	Calcinato	LOMBARDIA	609653	5036187	4768	5036187.299	20.06.2010	44.0
204400	Caino	Caino	LOMBARDIA	603098	5051534	5520	5051534.116	20.06.2010	38.2
333400	Riglio	Bettola	EMILIA-ROMAGNA	553499	4963178	3848	4963177.685	20.06.2010	34.2
292000	Bettola	Bettola	EMILIA-ROMAGNA	550093	4960440	3015	4960439.631	20.06.2010	38.2
333700	Case_Bonini	Vernasca	EMILIA-ROMAGNA	561411	4955683	3779	4955682.966	20.06.2010	39.6
335500	Teruzzi	Morfasso	EMILIA-ROMAGNA	554252	4949264	3999	4949264.357	20.06.2010	43.8
337700	Bore	Bore	EMILIA-ROMAGNA	563232	4951601	4027	4951601.257	20.06.2010	46.8
334600	Pione	Bardi	EMILIA-ROMAGNA	550377	4941024	3833	4941023.579	20.06.2010	34.8
201800	Pontelagoscuro	Ferrara	EMILIA-ROMAGNA	706741	4974555	5586	4974554.944	20.06.2010	40.8
209700	La_Stella	Casina	EMILIA-ROMAGNA	618345	4931754	1483	4931753.68	20.06.2010	39.2
296300	Soncino	Soncino	LOMBARDIA	569679	5027683	4763	5027683.479	20.06.2010	36.8
235200	Contarina	NA	NA	756052	4987775	5549	4987774.702	20.06.2010	40.8
135600	Parma_T_P_	Parma	EMILIA-ROMAGNA	605442	4962064	8005	4962064.493	20.06.2010	47.0
334400	Pellegrino	Pellegrino_Parmense	EMILIA-ROMAGNA	573997	4953071	3828	4953071.162	20.06.2010	39.8
335100	Roncovetro	Canossa	EMILIA-ROMAGNA	609809	4930315	3979	4930314.774	20.06.2010	47.0
325800	Quattro_Castella	Quattro_Castella	EMILIA-ROMAGNA	617013	4943397	3910	4943396.722	20.06.2010	41.0
123100	La_Secca	Ponte_nelle_Alpi	VENETO	757000	5112950	4386	5112949.792	20.06.2010	46.4
293300	S_Michele	Morfasso	EMILIA-ROMAGNA	556143	4957024	3086	4957023.542	20.06.2010	53.8
235900	Fonzaso	Fonzaso	VENETO	717208	5098152	8066	5098151.979	20.06.2010	49.5
235100	Conegliano	Conegliano	VENETO	757944	5086279	7729	5086278.558	20.06.2010	56.8
191000	Castelfranco_Veneto	Castelfranco_Veneto	VENETO	727385	5061774	6075	5061773.532	20.06.2010	68.2
339200	Manerbio	Manerbio	LOMBARDIA	589724	5023515	4932	5023514.728	20.06.2010	66.4
297600	Asola	Asola	LOMBARDIA	611165	5008021	4928	5008020.654	20.06.2010	76.0
296600	Codogno	Codogno	LOMBARDIA	556652	5001188	4958	5001188.401	20.06.2010	59.4
204100	Monzambano	NA	NA	633942	5027733	5007	5027733.327	20.06.2010	50.0
296700	Castiglione_delle_Stiviere	NA	NA	618383	5025632	4945	5025632.405	20.06.2010	72.0
235400	Cornuda	Cornuda	VENETO	732429	5078714	5836	5078714.343	20.06.2010	68.2
239000	Treviso	Treviso	VENETO	752973	5060779	7728	5060778.862	20.06.2010	60.0
175300	Villaggio_del_Sole	Solagna	VENETO	711847	5079267	5597	5079267.251	20.06.2010	48.6
